"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @madel_alcayde: @Jonah31289 @LadyBangsieReid @ofcWeLoveJADINE that's good Joy will continue praying to #Jadine they deserve all the bles…",FALSE,0,NA,2016-03-03 07:59:56,FALSE,NA,"705301668330491904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jonah31289",1,TRUE,FALSE,NA,NA
"2","https://t.co/NHlprckBzj 
Medley of the hottest filipino loveteams' THEME SONGS!!!!!<ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081> 
Who's your fave?<U+263A><U+FE0F>#aldub #KathNiel #lizquen #jadine",FALSE,0,NA,2016-03-03 07:59:38,FALSE,NA,"705301594317922305",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MaeganJoyyce",0,FALSE,FALSE,NA,NA
"3","@Jonah31289 @LadyBangsieReid @ofcWeLoveJADINE that's good Joy will continue praying to #Jadine they deserve all the blessing",FALSE,1,"Jonah31289",2016-03-03 07:59:33,FALSE,"705300694576685056","705301573799378944","3314085487","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","madel_alcayde",1,FALSE,FALSE,NA,NA
"4","RT @WLJDAus: Shooting today<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>#Repost jah.meg thanks
···
Ayiiii! spotted <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
#JadiNe
#JamesReid 
#NadineLustre… https://t.co/yXUtsFJMqO",FALSE,0,NA,2016-03-03 07:59:32,FALSE,NA,"705301570011803648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JerMMMMsss",1,TRUE,FALSE,NA,NA
"5","RT @jaiesq21: #Jadine my Loves!!!  #HolaMag <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

#NadineForMetro 

#VoteJamesFPP #KCA https://t.co/yaTxflDgwL",FALSE,0,NA,2016-03-03 07:57:20,FALSE,NA,"705301015579328512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","trinidadabigai2",145,TRUE,FALSE,NA,NA
"6","RT @JDPublicistOFC: Happy that your hearts are happy! <ed><U+00A0><U+00BD><ed><U+00B1><U+00B6><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B2><U+009C> #TeamREAL #JaDine https://t.co/JeMc4gVWOQ",FALSE,0,NA,2016-03-03 07:57:00,FALSE,NA,"705300931756175360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","meimedalla",29,TRUE,FALSE,NA,NA
"7","RT @jaiesq21: #Jadine my Loves!!!  #HolaMag <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

#NadineForMetro 

#VoteJamesFPP #KCA https://t.co/yaTxflDgwL",FALSE,0,NA,2016-03-03 07:56:33,FALSE,NA,"705300818417745920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mwiwoh1309",145,TRUE,FALSE,NA,NA
"8","Shooting today<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>#Repost jah.meg thanks
···
Ayiiii! spotted <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
#JadiNe
#JamesReid 
#NadineLustre… https://t.co/yXUtsFJMqO",FALSE,1,NA,2016-03-03 07:56:00,FALSE,NA,"705300678856609792",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","WLJDAus",1,FALSE,FALSE,NA,NA
"9","RT @jaiesq21: #Jadine my Loves!!!  #HolaMag <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

#NadineForMetro 

#VoteJamesFPP #KCA https://t.co/yaTxflDgwL",FALSE,0,NA,2016-03-03 07:56:00,FALSE,NA,"705300678512476161",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","jred0812",145,TRUE,FALSE,NA,NA
"10","RT @SHADOWS18_: Hoooong sweet sweet ni hubby ayyiiee.. <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

#JaDine 
#JamesReid
#NadineLustre 
#SHADOWS 
©… https://t.co/eAdO4V4G2J",FALSE,0,NA,2016-03-03 07:55:26,FALSE,NA,"705300537822937088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rie15_",8,TRUE,FALSE,NA,NA
