"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @jabjimenez: Meeting with the Lead Network organizer of the Cebu Round of #PiliPinasDebates2016. What do you wanna tell them?",FALSE,0,NA,2016-03-03 07:52:38,FALSE,NA,"705299832911458304",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","martinezlinda51",31,TRUE,FALSE,NA,NA
"2","RT @GinoAngelo22: Mark your calendars. The 2nd #PiliPinasDebates2016 will be on March 20 on TV5. #PiliPinas",FALSE,0,NA,2016-03-03 07:52:20,FALSE,NA,"705299757623709696",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","martinezlinda51",20,TRUE,FALSE,NA,NA
"3","RT @GinoAngelo22: Mark your calendars. The 2nd #PiliPinasDebates2016 will be on March 20 on TV5. #PiliPinas",FALSE,0,NA,2016-03-03 07:50:44,FALSE,NA,"705299352248459265",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","domingotoby",20,TRUE,FALSE,NA,NA
"4","RT @jabjimenez: Meeting with the Lead Network organizer of the Cebu Round of #PiliPinasDebates2016. What do you wanna tell them?",FALSE,0,NA,2016-03-03 07:50:14,FALSE,NA,"705299226373140480",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","domingotoby",31,TRUE,FALSE,NA,NA
"5","RT @rapplerdotcom: GMA News issued a statement after VP Jojo Binay aired his complaints about #PiliPinasDebates2016. #PHVote https://t.co/C…",FALSE,0,NA,2016-03-03 07:48:34,FALSE,NA,"705298806871461889",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","louiemagno743",57,TRUE,FALSE,NA,NA
"6","RT @GinoAngelo22: Mark your calendars. The 2nd #PiliPinasDebates2016 will be on March 20 on TV5. #PiliPinas",FALSE,0,NA,2016-03-03 07:48:30,FALSE,NA,"705298793751662593",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","louiemagno743",20,TRUE,FALSE,NA,NA
"7","RT @jabjimenez: Meeting with the Lead Network organizer of the Cebu Round of #PiliPinasDebates2016. What do you wanna tell them?",FALSE,0,NA,2016-03-03 07:47:46,FALSE,NA,"705298608787042304",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","LuceroBilly",31,TRUE,FALSE,NA,NA
"8","RT @GinoAngelo22: Mark your calendars. The 2nd #PiliPinasDebates2016 will be on March 20 on TV5. #PiliPinas",FALSE,0,NA,2016-03-03 07:47:45,FALSE,NA,"705298603825168384",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","LuceroBilly",20,TRUE,FALSE,NA,NA
"9","RT @jabjimenez: Meeting with the Lead Network organizer of the Cebu Round of #PiliPinasDebates2016. What do you wanna tell them?",FALSE,0,NA,2016-03-03 07:47:00,FALSE,NA,"705298413194055680",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JanicaTuazon",31,TRUE,FALSE,NA,NA
"10","RT @GinoAngelo22: Mark your calendars. The 2nd #PiliPinasDebates2016 will be on March 20 on TV5. #PiliPinas",FALSE,0,NA,2016-03-03 07:46:53,FALSE,NA,"705298385658482688",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JanicaTuazon",20,TRUE,FALSE,NA,NA
"11","RT @BilangPilipino: Sino ang Presidente mo? Catch the 2nd #PiliPinasDebates2016 @TV5manila sa March 20 Sunday.#BilangPilipino #PiliPinas ht…",FALSE,0,NA,2016-03-03 07:46:22,FALSE,NA,"705298255807016960",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","frankbautista91",11,TRUE,FALSE,NA,NA
"12","RT @GinoAngelo22: Mark your calendars. The 2nd #PiliPinasDebates2016 will be on March 20 on TV5. #PiliPinas",FALSE,0,NA,2016-03-03 07:46:21,FALSE,NA,"705298249888845825",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","frankbautista91",20,TRUE,FALSE,NA,NA
"13","RT @Senyora: Oo nga GMA! 1 more hour! Wala rin naman masyado nanonood nung ibang shows n'yo. #sorrynotsorry #PiliPinasDebates2016",FALSE,0,NA,2016-03-03 07:46:15,FALSE,NA,"705298225302020096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sarahtomiho",5978,TRUE,FALSE,NA,NA
"14","RT @BilangPilipino: Ano ang gusto mong itanong sa susunod na #PiliPinasDebates2016? Gamitin ang hashtag na #BilangPilipino! https://t.co/MX…",FALSE,0,NA,2016-03-03 07:45:49,FALSE,NA,"705298116170231809",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MilaMIcahTiedra",122,TRUE,FALSE,NA,NA
"15","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-03 07:45:23,FALSE,NA,"705298009421017088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cairavlityyy",3212,TRUE,FALSE,NA,NA
"16","RT @jabjimenez: Meeting with the Lead Network organizer of the Cebu Round of #PiliPinasDebates2016. What do you wanna tell them?",FALSE,0,NA,2016-03-03 07:45:12,FALSE,NA,"705297963606618112",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lindacastro84",31,TRUE,FALSE,NA,NA
"17","RT @GinoAngelo22: Mark your calendars. The 2nd #PiliPinasDebates2016 will be on March 20 on TV5. #PiliPinas",FALSE,0,NA,2016-03-03 07:45:11,FALSE,NA,"705297958527340544",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lindacastro84",20,TRUE,FALSE,NA,NA
"18","RT @jabjimenez: Meeting with the Lead Network organizer of the Cebu Round of #PiliPinasDebates2016. What do you wanna tell them?",FALSE,0,NA,2016-03-03 07:44:18,FALSE,NA,"705297736120205312",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","clarencegrafil",31,TRUE,FALSE,NA,NA
"19","RT @GinoAngelo22: Mark your calendars. The 2nd #PiliPinasDebates2016 will be on March 20 on TV5. #PiliPinas",FALSE,0,NA,2016-03-03 07:44:17,FALSE,NA,"705297730696925184",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","clarencegrafil",20,TRUE,FALSE,NA,NA
"20","RT @GinoAngelo22: Mark your calendars. The 2nd #PiliPinasDebates2016 will be on March 20 on TV5. #PiliPinas",FALSE,0,NA,2016-03-03 07:43:12,FALSE,NA,"705297457547051008",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","FelixButch",20,TRUE,FALSE,NA,NA
"21","RT @jabjimenez: Meeting with the Lead Network organizer of the Cebu Round of #PiliPinasDebates2016. What do you wanna tell them?",FALSE,0,NA,2016-03-03 07:43:11,FALSE,NA,"705297452396511232",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","FelixButch",31,TRUE,FALSE,NA,NA
"22","RT @GinoAngelo22: Mark your calendars. The 2nd #PiliPinasDebates2016 will be on March 20 on TV5. #PiliPinas",FALSE,0,NA,2016-03-03 07:42:35,FALSE,NA,"705297301846142976",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","TinaVallesterio",20,TRUE,FALSE,NA,NA
"23","RT @jabjimenez: Meeting with the Lead Network organizer of the Cebu Round of #PiliPinasDebates2016. What do you wanna tell them?",FALSE,0,NA,2016-03-03 07:42:34,FALSE,NA,"705297297005895680",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","TinaVallesterio",31,TRUE,FALSE,NA,NA
"24","RT @BilangPilipino: Ano ang gusto mong itanong sa susunod na #PiliPinasDebates2016? Gamitin ang hashtag na #BilangPilipino! https://t.co/MX…",FALSE,0,NA,2016-03-03 07:42:02,FALSE,NA,"705297166089084928",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FafaLuke",122,TRUE,FALSE,NA,NA
"25","RT @GinoAngelo22: Mark your calendars. The 2nd #PiliPinasDebates2016 will be on March 20 on TV5. #PiliPinas",FALSE,0,NA,2016-03-03 07:41:14,FALSE,NA,"705296963722317824",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Donverde3",20,TRUE,FALSE,NA,NA
"26","RT @jabjimenez: Meeting with the Lead Network organizer of the Cebu Round of #PiliPinasDebates2016. What do you wanna tell them?",FALSE,0,NA,2016-03-03 07:41:13,FALSE,NA,"705296958164856832",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Donverde3",31,TRUE,FALSE,NA,NA
"27","RT @GinoAngelo22: Mark your calendars. The 2nd #PiliPinasDebates2016 will be on March 20 on TV5. #PiliPinas",FALSE,0,NA,2016-03-03 07:38:54,FALSE,NA,"705296375211122693",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","danielhong25",20,TRUE,FALSE,NA,NA
"28","RT @jabjimenez: Meeting with the Lead Network organizer of the Cebu Round of #PiliPinasDebates2016. What do you wanna tell them?",FALSE,0,NA,2016-03-03 07:38:53,FALSE,NA,"705296370647707649",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","danielhong25",31,TRUE,FALSE,NA,NA
"29","RT @GinoAngelo22: Mark your calendars. The 2nd #PiliPinasDebates2016 will be on March 20 on TV5. #PiliPinas",FALSE,0,NA,2016-03-03 07:38:18,FALSE,NA,"705296223666737153",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","KateBliss5",20,TRUE,FALSE,NA,NA
"30","RT @jabjimenez: Meeting with the Lead Network organizer of the Cebu Round of #PiliPinasDebates2016. What do you wanna tell them?",FALSE,0,NA,2016-03-03 07:38:17,FALSE,NA,"705296219396923392",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","KateBliss5",31,TRUE,FALSE,NA,NA
"31","RT @xpeanutgalleryx: Archie Po also in helicopter controversy involving former first gentleman Mike Arroyo &amp; PNP

#PilipinasDebates2016  ht…",FALSE,0,NA,2016-03-03 07:37:53,FALSE,NA,"705296119140515840",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","bongcanales517",6,TRUE,FALSE,NA,NA
"32","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-03 07:37:41,FALSE,NA,"705296071434465280",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","gargaritaSydney",3212,TRUE,FALSE,NA,NA
"33","RT @GinoAngelo22: Mark your calendars. The 2nd #PiliPinasDebates2016 will be on March 20 on TV5. #PiliPinas",FALSE,0,NA,2016-03-03 07:36:56,FALSE,NA,"705295883277959170",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","pamjordana",20,TRUE,FALSE,NA,NA
"34","RT @jabjimenez: Meeting with the Lead Network organizer of the Cebu Round of #PiliPinasDebates2016. What do you wanna tell them?",FALSE,0,NA,2016-03-03 07:36:55,FALSE,NA,"705295878995595264",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","pamjordana",31,TRUE,FALSE,NA,NA
"35","RT @BilangPilipino: Sino ang Presidente mo? Catch the 2nd #PiliPinasDebates2016 @TV5manila sa March 20 Sunday.#BilangPilipino #PiliPinas ht…",FALSE,0,NA,2016-03-03 07:34:30,FALSE,NA,"705295270196568064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Faerie0310",11,TRUE,FALSE,NA,NA
"36","RT @BilangPilipino: Ano ang gusto mong itanong sa susunod na #PiliPinasDebates2016? Gamitin ang hashtag na #BilangPilipino! https://t.co/MX…",FALSE,0,NA,2016-03-03 07:33:35,FALSE,NA,"705295039648272384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","imkyjienisnea",122,TRUE,FALSE,NA,NA
"37","RT @jabjimenez: Candidates' reps hammering out the details of the #PiliPinasDebates2016 #PiliPinas https://t.co/e12yMg60HK",FALSE,0,NA,2016-03-03 07:33:14,FALSE,NA,"705294950322216960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","suigeneris_05",11,TRUE,FALSE,NA,NA
"38","RT @GinoAngelo22: Mark your calendars. The 2nd #PiliPinasDebates2016 will be on March 20 on TV5. #PiliPinas",FALSE,0,NA,2016-03-03 07:32:31,FALSE,NA,"705294770256506881",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","winniecruz23",20,TRUE,FALSE,NA,NA
"39","RT @jabjimenez: Meeting with the Lead Network organizer of the Cebu Round of #PiliPinasDebates2016. What do you wanna tell them?",FALSE,0,NA,2016-03-03 07:32:30,FALSE,NA,"705294765114306560",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","winniecruz23",31,TRUE,FALSE,NA,NA
"40","RT @BilangPilipino: Ano ang gusto mong itanong sa susunod na #PiliPinasDebates2016? Gamitin ang hashtag na #BilangPilipino! https://t.co/MX…",FALSE,0,NA,2016-03-03 07:31:04,FALSE,NA,"705294405993963520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","megandeleon20n",122,TRUE,FALSE,NA,NA
"41","RT @jabjimenez: Meeting with the Lead Network organizer of the Cebu Round of #PiliPinasDebates2016. What do you wanna tell them?",FALSE,0,NA,2016-03-03 07:29:32,FALSE,NA,"705294020583395328",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","renzeferrer",31,TRUE,FALSE,NA,NA
"42","RT @GinoAngelo22: Mark your calendars. The 2nd #PiliPinasDebates2016 will be on March 20 on TV5. #PiliPinas",FALSE,0,NA,2016-03-03 07:29:31,FALSE,NA,"705294015202091009",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","renzeferrer",20,TRUE,FALSE,NA,NA
"43","RT @duterte007: Don't forget the #VoteDuterteCayetano when sharing mga KA-DDS!
#DU30
#duterte2016 
#duterte
#PILIPINASDEBATES2016 https://t…",FALSE,0,NA,2016-03-03 07:28:54,FALSE,NA,"705293858758733824",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lensolis50",27,TRUE,FALSE,NA,NA
"44","RT @jabjimenez: Meeting with the Lead Network organizer of the Cebu Round of #PiliPinasDebates2016. What do you wanna tell them?",FALSE,0,NA,2016-03-03 07:28:52,FALSE,NA,"705293849212506112",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lensolis50",31,TRUE,FALSE,NA,NA
"45","RT @GinoAngelo22: Mark your calendars. The 2nd #PiliPinasDebates2016 will be on March 20 on TV5. #PiliPinas",FALSE,0,NA,2016-03-03 07:28:50,FALSE,NA,"705293843768291328",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lensolis50",20,TRUE,FALSE,NA,NA
"46","RT @jabjimenez: Meeting with the Lead Network organizer of the Cebu Round of #PiliPinasDebates2016. What do you wanna tell them?",FALSE,0,NA,2016-03-03 07:27:50,FALSE,NA,"705293592332349440",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","tracybelle490",31,TRUE,FALSE,NA,NA
"47","RT @GinoAngelo22: Mark your calendars. The 2nd #PiliPinasDebates2016 will be on March 20 on TV5. #PiliPinas",FALSE,0,NA,2016-03-03 07:27:49,FALSE,NA,"705293587869622272",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","tracybelle490",20,TRUE,FALSE,NA,NA
"48","RT @jabjimenez: Meeting with the Lead Network organizer of the Cebu Round of #PiliPinasDebates2016. What do you wanna tell them?",FALSE,0,NA,2016-03-03 07:27:04,FALSE,NA,"705293399838973952",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","joygarcia667",31,TRUE,FALSE,NA,NA
"49","RT @jabjimenez: Candidates' reps hammering out the details of the #PiliPinasDebates2016 #PiliPinas https://t.co/e12yMg60HK",FALSE,0,NA,2016-03-03 07:27:03,FALSE,NA,"705293393392340993",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","joygarcia667",11,TRUE,FALSE,NA,NA
"50","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-03 07:26:58,FALSE,NA,"705293371703623681",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ankngela",3212,TRUE,FALSE,NA,NA
"51","RT @jabjimenez: Meeting with the Lead Network organizer of the Cebu Round of #PiliPinasDebates2016. What do you wanna tell them?",FALSE,0,NA,2016-03-03 07:26:19,FALSE,NA,"705293210080284672",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","dina_bondoc",31,TRUE,FALSE,NA,NA
"52","RT @jabjimenez: Candidates' reps hammering out the details of the #PiliPinasDebates2016 #PiliPinas https://t.co/e12yMg60HK",FALSE,0,NA,2016-03-03 07:26:18,FALSE,NA,"705293203218370561",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","dina_bondoc",11,TRUE,FALSE,NA,NA
"53","RT @jabjimenez: Meeting with the Lead Network organizer of the Cebu Round of #PiliPinasDebates2016. What do you wanna tell them?",FALSE,0,NA,2016-03-03 07:25:16,FALSE,NA,"705292944664702978",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ChristianBanaw1",31,TRUE,FALSE,NA,NA
"54","RT @GinoAngelo22: Mark your calendars. The 2nd #PiliPinasDebates2016 will be on March 20 on TV5. #PiliPinas",FALSE,0,NA,2016-03-03 07:25:15,FALSE,NA,"705292939367305216",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ChristianBanaw1",20,TRUE,FALSE,NA,NA
