"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @imgodplsstandup: - <U+041A><U+041E><U+0413><U+0414><U+0410> <U+0422><U+042B> <U+0423><U+0416><U+0415> <U+041D><U+0410><U+0427><U+041D><U+0415><U+0428><U+042C> <U+041F><U+041E><U+041D><U+0418><U+041C><U+0410><U+0422><U+042C> <U+0410><U+041B><U+0413><U+0415><U+0411><U+0420><U+0423>?
- <U+041B><U+0415><U+041E> <U+0416><U+0414><U+0410><U+041B>, <U+0418> <U+0422><U+042B> <U+041F><U+041E><U+0414><U+041E><U+0416><U+0414><U+0415><U+0428><U+042C> 

#Oscars",FALSE,0,NA,2016-03-03 08:04:10,FALSE,NA,"705302736099737600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Karmanov7991",1,TRUE,FALSE,NA,NA
"2","RT @koodji: <U+0E21><U+0E35><U+0E25><U+0E38><U+0E07><U+0E41><U+0E16><U+0E27><U+0E19><U+0E35><U+0E49><U+0E25><U+0E37><U+0E21> #Oscars  <U+0E44><U+0E27><U+0E49><U+0E17><U+0E35><U+0E48><U+0E23><U+0E49><U+0E32><U+0E19><U+0E2D><U+0E32><U+0E2B><U+0E32><U+0E23> 55555555555555 <U+0E1E><U+0E19><U+0E07>.<U+0E15><U+0E49><U+0E2D><U+0E07><U+0E40><U+0E2D><U+0E32><U+0E21><U+0E32><U+0E04><U+0E37><U+0E19>

<U+0E02><U+0E2D><U+0E21><U+0E35><U+0E21><U+0E43><U+0E2B><U+0E21><U+0E48><U+0E14><U+0E49><U+0E27><U+0E22><U+0E04><U+0E48><U+0E30> 5555555555555 https://t.co/hK8MjhASZT",FALSE,0,NA,2016-03-03 08:04:09,FALSE,NA,"705302730143760384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pampemika",1209,TRUE,FALSE,NA,NA
"3","RT @SooFunnyPost: A moment of silence for all the ""Leonardo DiCaprio doesn't have an Oscar"" jokes. 1993-2016

#LeonardoDiCaprio #Oscars",FALSE,0,NA,2016-03-03 08:04:09,FALSE,NA,"705302728902311936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CatyJones00",992,TRUE,FALSE,NA,NA
"4","RT @mukesh_pc: Priyanka Chopra stole the show
#Oscars @priyankachopra @TeamPriyanka 
https://t.co/qW9l8zriQX",FALSE,0,NA,2016-03-03 08:04:08,FALSE,NA,"705302725194428416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NirmalaHembram",84,TRUE,FALSE,NA,NA
"5","RT @MoeMovies: <U+2664><U+0643><U+0645><U+0627> <U+0639><U+0648><U+062F><U+0646><U+0627><U+0643><U+0645>
#<U+062D><U+0635><U+0631><U+064A> <U+0648><U+0628><U+0627><U+0644><U+0646><U+0633><U+062E><U+0629> <U+0627><U+0644><U+0645><U+062A><U+0631><U+062C><U+0645><U+0629>!!
<U+062D><U+0641><U+0644> <U+062A><U+0648><U+0632><U+064A><U+0639> <U+062C><U+0648><U+0627><U+0626><U+0632> <U+0627><U+0644><U+0623><U+0648><U+0633><U+0643><U+0627><U+0631> 2016 <U+0643><U+0627><U+0645><U+0644><U+0629>

<U+0645><U+0634><U+0627><U+0647><U+062F><U+0629><ed><U+00A0><U+00BD><ed><U+00B1><U+0087>
https://t.co/uFFlBfPAav

#Oscars https:/…",FALSE,0,NA,2016-03-03 08:04:06,FALSE,NA,"705302718882127872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","A__TV",12,TRUE,FALSE,NA,NA
"6","RT @TheEllenShow: If only Bradley's arm was longer. Best photo ever. #oscars http://t.co/C9U5NOtGap",FALSE,0,NA,2016-03-03 08:04:05,FALSE,NA,"705302714910011392",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","gillarmenta147",3342397,TRUE,FALSE,NA,NA
"7","RT @FruittiLoopz: ""It's always been racism. It's kind of a reflection of what the country is,"" Dustin Hoffman on the #Oscars, via @AP https…",FALSE,0,NA,2016-03-03 08:04:03,FALSE,NA,"705302704927559680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bmby_sapphire85",1,TRUE,FALSE,NA,NA
"8","RT @insanashwani: Ohhhh wow .
This is real #Oscars by Fans 
Continue.
Its 166 days of its release, #FansStillEnjoyingMSG2",FALSE,0,NA,2016-03-03 08:04:01,FALSE,NA,"705302697688236032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ashuyadav954",91,TRUE,FALSE,NA,NA
"9","RT @MTV: Greetings, @DSprayberry. #Oscars https://t.co/4Ob0osrpgn",FALSE,0,NA,2016-03-03 08:04:00,FALSE,NA,"705302694542643200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DylanOBrien2426",2192,TRUE,FALSE,NA,NA
"10","RT @lkznts: <U+041D><U+043E><U+0432><U+0430><U+044F> <U+043F><U+043E><U+0433><U+043E><U+0432><U+043E><U+0440><U+043A><U+0430>:
-<U+041B><U+0435><U+043E> <U+0436><U+0434><U+0430><U+043B>, <U+0438> <U+0442><U+044B> <U+043F><U+043E><U+0434><U+043E><U+0436><U+0434><U+0435><U+0448><U+044C> 

#Oscars",FALSE,0,NA,2016-03-03 08:03:57,FALSE,NA,"705302682064568320",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Karmanov7991",118,TRUE,FALSE,NA,NA
